Scale,HT,ML,,HT,ML,Differences,True Count,HT,ML,,,weight estimates using equation,,HT,ML,Error,Error,,HT,ML,truth,,Label Ground Truth,,,
1.30,4732.266667,3267.664767,,0.5716178007,0.6118338834,0.04021608263,30,30,30,,,,,1.251091397,1.260775418,0.04,0.03,,,,,,0.5790356343,1.251566182,0.04,0.001886496528
1.24,4513.4,3169.199399,,0.545180558,0.5933973384,0.04821678044,30,30,30,,,,,1.172642605,1.212130181,0.07,0.03,,,,,,0.5579088247,1.189791885,0.05,0.002690992952
1.35,4839.444444,3324.072063,,0.5845639701,0.6223955222,0.0378315521,30,30,30,,,,,1.28950733,1.288642539,0.06,0.06,,,,,,0.6005556117,1.314490093,0.04,0.001260953518
1.54,5387.433333,3718.263401,,0.6507563945,0.6962034659,0.04544707145,30,30,30,,,,,1.485924019,1.483386454,0.05,0.05,,,,,,0.6640535639,1.50015662,0.04,0.001332983534
1.22,4592.448276,3221.483355,,0.5547289213,0.6031869276,0.04845800628,30,30,30,,,,,1.200976028,1.237960231,0.02,-0.02,,,,,,0.5649078206,1.210256785,0.01,0.0000652306289
1.32,4899.433333,3404.394733,,0.5918101206,0.6374350488,0.04562492815,30,30,30,,,,,1.31100926,1.328324667,0.01,-0.01,,,,,,0.6028038616,1.321063923,0.00,0.0000193358619
1.39,5103,3518.693728,,0.6163992527,0.6588362643,0.04243701152,30,30,30,,,,,1.383974044,1.384792254,0.00,0.00,,,,,,0.6250112448,1.385997792,0.00,0.0000009955884937
1.37,5744.166667,4005.577757,,0.6938467648,0.7499998835,0.05615311863,30,30,30,,,,,1.61378862,1.625329508,-0.24,-0.26,,,,,,0.6956545359,1.592557122,-0.22,0.04953167274
2.11,6465.866667,4514.892758,,0.7810220227,0.8453634526,0.06434142994,30,30,30,,,,,1.87246891,1.876948424,0.24,0.23,,,,,,0.797165374,1.889372438,0.22,0.04867652091
1.78,6019.769231,4245.226299,,0.7271372243,0.7948714074,0.06773418313,30,30,30,,,,,1.712573366,1.74372403,0.07,0.03,,,,,,0.7493057421,1.749431994,0.03,0.0008352873969
1.28,4804.133333,3365.635334,,0.5802986864,0.6301777823,0.04987909593,30,30,30,,,,,1.276850702,1.309176207,0.00,-0.03,,,,,,0.5851794654,1.269530601,0.01,0.0001472840997
1.74,6056.5,4180.077521,,0.7315739906,0.7826730234,0.05109903277,30,30,30,,,,,1.725738845,1.71153832,0.01,0.03,,,,,,0.7255196116,1.679881905,0.06,0.003224509142
1.05,3436.310345,2405.226898,,0.5130308125,0.5566300084,0.04359919585,30,30,30,,,,,1.077242767,1.115118756,-0.03,-0.07,,,,,,0.5276264551,1.101246945,-0.05,0.002799850276
1.00,3369.933333,2352.942942,,0.5031209241,0.5445301858,0.04140926171,30,30,30,,,,,1.04783657,1.083193102,-0.05,-0.09,,,,,,0.5139305396,1.061200408,-0.07,0.004382494055
1.28,3783.142857,2740.866803,,0.5648118648,0.6343055256,0.06949366076,30,30,30,,,,,1.230895741,1.32006735,0.05,-0.04,,,,,,0.5877726426,1.27711299,0.00,0.000008334826351
1.34,4049.733333,2805.190912,,0.6046130221,0.6491917426,0.04457872049,30,31,30,,,,,1.349000066,1.359344967,-0.01,-0.02,,,,,,0.6194860581,1.369842275,-0.03,0.0007938649115
1.45,4468.32,2907.28482,,0.6671067541,0.672818841,0.005712086853,30,30,30,,,,,1.534441407,1.421685596,-0.08,0.03,,,,,,0.6531898805,1.468391464,-0.02,0.0003382459329
1.56,4487.64,3107.019426,,0.6699911721,0.7190424534,0.04905128132,30,30,30,,,,,1.543000511,1.543647634,0.02,0.02,,,,,,0.6736051096,1.528085116,0.03,0.001018559835
1.46,4090.814815,2788.532617,,0.6107463639,0.6453365941,0.03459023019,30,30,30,,,,,1.367199893,1.349173072,0.09,0.11,,,,,,0.631095519,1.403788067,0.05,0.002975186067
1.45,4275.166667,2850.052855,,0.6382695416,0.6595739248,0.02130438313,27,27,27,,,,,1.448871043,1.386738588,0.00,0.06,,,,,,0.6432720849,1.439392061,0.01,0.00007666906203
1.32,3949.222222,2652.303139,,0.5896070152,0.613809666,0.02420265083,29,29,29,,,,,1.304471855,1.265988565,0.01,0.05,,,,,,0.6028444198,1.321182514,0.00,0.0000155325422
1.40,4153.75,2730.640919,,0.620142398,0.6319389988,0.01179660074,30,30,30,,,,,1.3950813,1.313823216,0.00,0.08,,,,,,0.6259856317,1.388846876,0.01,0.00008999286917
1.35,4073.269231,2676.87256,,0.6081268609,0.6194956481,0.01136878717,30,30,29,,,,,1.359426887,1.280991156,-0.01,0.06,,,,,,0.6155470712,1.35832477,-0.01,0.0001775494831
1.28,3854.884615,2468.231538,,0.5755226938,0.5712108671,-0.004311826681,30,30,30,,,,,1.262678617,1.153590678,0.02,0.13,,,,,,0.5844830544,1.267494311,0.02,0.0002508746268
